opus 1.2.1-1
orc 0.4.28-1
orca 3.26.0-1
osinfo-db 20170423-1
owncloud-client 2.3.4-1
p11-kit 0.23.9-1
pacman 5.0.2-2
pacman-mirrorlist 20171027-1
pam 1.3.0-1
pambase 20171006-1
pandoc-bin 2.0.2-1
pango 1.40.14-1
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
paper-icon-theme-git 749.c153195c-1
parted 3.2-6
pass 1.7.1-1
patch 2.7.5-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.22-1
pepper-flash 27.0.0.187-1
perl 5.26.1-1
perl-error 0.17025-2
perl-file-which 1.22-1
pinentry 1.0.0-1
pipewire 0.1.7-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
pokemmo 1.2.1-1
polari 3.26.2-1
polkit 0.113+29+g3272a98-1
poppler 0.61.1-1
poppler-glib 0.61.1-1
popt 1.16-9
portaudio 190600_20161030-1
postgresql 10.1-1
postgresql-libs 10.1-1
potrace 1.14-1
powertop 2.9-1
procps-ng 3.3.12-1
protobuf 3.4.1-1
psmisc 23.1-1
psutils 1.17-5
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pygobject-devel 3.26.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
python 3.6.3-1
python-appdirs 1.4.3-1
python-atspi 2.26.0-1
python-beaker 1.8.1-2
python-bleach 2.1.1-1
python-cairo 1.15.4-1
python-chardet 3.0.4-1
python-dateutil 2.6.1-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-decorator 4.1.2-1
python-entrypoints 0.2.3-1
python-gobject 3.26.1-1
python-html5lib 0.999999999-2
python-idna 2.6-1
python-ipykernel 4.6.1-1
python-ipywidgets 6.0.0-1
python-jedi 0.11.0-2
python-jinja 2.10-1
python-jsonschema 2.6.0-1
python-jupyter_client 5.1.0-1
python-jupyter_core 4.4.0-1
python-mako 1.0.7-1
python-markupsafe 1.0-1
python-mistune 0.8.1-1
python-packaging 16.8-2
python-pandocfilters 1.4.2-1
python-parso 0.1.1-1
python-pexpect 4.3.0-1
python-pickleshare 0.7.4-3
python-prompt_toolkit 1.0.15-1
python-ptyprocess 0.5.2-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pyzmq 16.0.3-1
python-requests 2.18.4-1
python-setuptools 1:38.2.3-1
python-six 1.11.0-1
python-terminado 0.7-1
python-testpath 0.3.1-1
python-tornado 4.5.2-1
python-traitlets 4.3.2-1
python-urllib3 1.22-1
python-wcwidth 0.1.7-2
python-webencodings 0.5.1-1
python-xdg 0.25-4
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-asn1crypto 0.23.0-1
python2-attrs 17.3.0-1
python2-automat 0.6.0-1
python2-cairo 1.15.4-1
python2-cffi 1.11.2-1
python2-chardet 3.0.4-1
python2-click 6.7-1
python2-constantly 15.1.0-2
python2-cryptography 2.1.4-1
python2-dbus 1.2.4-2
python2-enum34 1.1.6-1
python2-gobject 3.26.1-1
python2-gobject2 2.28.6-13
python2-hyperlink 17.3.1-1
python2-idna 2.6-1
python2-incremental 17.5.0-1
python2-ipaddress 1.0.18-1
python2-nautilus 1.1-4
python2-packaging 16.8-2
python2-ply 3.10-1
python2-pycparser 2.18-1
python2-pyopenssl 17.5.0-1
python2-pyparsing 2.2.0-1
python2-setuptools 1:38.2.3-1
python2-six 1.11.0-1
python2-twisted 17.9.0-1
python2-xdg 0.25-4
python2-zope-interface 4.4.3-1
qpdf 7.0.0-1
qqwing 1.3.4-3
qt4 4.8.7-23
qt5-base 5.9.3-1
qt5-declarative 5.9.3-1
qt5-location 5.9.3-1
qt5-multimedia 5.9.3-1
qt5-sensors 5.9.3-1
qt5-svg 5.9.3-1
qt5-webchannel 5.9.3-1
qt5-webkit 5.212.0alpha2-10
qt5-x11extras 5.9.3-1
qt5-xmlpatterns 5.9.3-1
qtkeychain 0.8.0-2
quadrapassel 3.22.0-1
r 3.4.3-1
randrproto 1.5.0-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
re2 20170801-1
readline 7.0.003-1
recordproto 1.14.2-2
redland 1:1.0.17-4
redshift 1.11-4
reflector 2017.11-1
reiserfsprogs 3.6.27-1
renderproto 0.11.1-3
rest 0.8.1-1
retroarch 1.6.7-2
retroarch-assets-xmb 512-1
retroarch-autoconfig-udev 1224-1
rhash 1.3.5-2
rofi 1.4.2-1
rofi-pass-git 350.273b4d1-1
rsync 3.1.2-8
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.4.2-1
ruby-docs 2.4.2-1
run-parts 4.8.1-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
rygel 0.36.0+7+gd7225192-1
s-nail 14.9.5-1
sbc 1.3-1
scala 2.12.4-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
seahorse 3.20.0+105+gb31e32fe-1
sed 4.4-1
semver 5.4.1-1
shadow 4.5-2
shared-color-targets 0.1.7-1
shared-mime-info 1.9-1
skypeforlinux 8.7.76.59440-1
sl 5.02-4
slang 2.3.1a-1
smbclient 4.7.3-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-13
spandsp 0.0.6-1
speech-dispatcher 0.8.8-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spice-glib 0.34-1
spice-gtk3 0.34-2
sqlite 3.21.0-1
startup-notification 0.12-5
sudo 1.8.21.p2-1
sushi 3.24.0-1
swell-foop 3.26.0+8+g4ff76c8-1
sysfsutils 2.1.0-9
systemd 235.38-2
systemd-boot-pacman-hook 2-1
systemd-cron-next 1.0.2-2
systemd-sysvcompat 235.38-2
t1lib 5.1.2-6
taglib 1.11.1-1
tali 3.22.0-1
talloc 2.1.10-1
tar 1.29-2
tcl 8.6.7-1
tdb 1.3.15-1
telegram-desktop-bin 1.1.23-1
telepathy-farstream 0.6.2-4
telepathy-glib 0.24.1-1
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-2
telepathy-mission-control 5.16.4-2
tevent 1:0.9.34-1
texinfo 6.5-1
texlive-bibtexextra 2017.45810-1
texlive-bin 2017.44590-9
texlive-core 2017.45811-1
